L (mm),W (mm),h (mm),eps_r,f_r (GHz)
15.75,20.13,1.56,2.99,5.272
8.94,11.6,0.94,3.47,8.6491
10.55,13.71,0.93,3.98,6.9332
28.13,35.59,0.82,3.8,2.7194
16.76,21.37,0.96,3.7,4.5797
11.97,16.15,1.83,4.3,5.7067
35.57,45.35,1.69,3.86,2.1228
7.43,10.4,1.66,4.3,8.8562
10.04,13.34,1.04,4.94,6.5251
14.73,19.08,1.27,3.82,5.0652
10.38,14.26,1.66,5.76,5.7218
6.47,9.01,1.19,6.07,8.8601
42.71,55.12,0.5,4.95,1.5778
14.59,19.79,2.0,5.45,4.2206
9.49,12.08,0.82,3.09,8.6862
16.52,20.79,0.77,3.36,4.8897
41.7,53.02,0.5,4.17,1.7605
15.19,19.53,0.69,4.3,4.7191
18.67,24.27,1.7,3.89,3.955
8.94,11.95,1.7,2.6,9.3551
44.41,54.67,0.71,3.03,1.933
13.03,16.03,0.5,2.8,6.7859
7.6,10.91,1.87,6.13,7.2854
9.31,12.18,1.57,2.33,9.5488
55.47,71.64,2.0,4.72,1.2382
10.07,13.33,0.61,6.12,5.9671
11.54,13.86,0.5,2.25,8.4827
10.82,14.71,2.0,3.65,6.6883
9.08,12.32,1.7,3.49,8.1277
9.55,12.4,0.94,3.63,7.9509
7.91,10.53,1.29,3.15,9.89
22.68,28.4,0.5,3.48,3.5296
10.97,14.54,0.88,5.6,5.6765
14.05,18.27,0.84,4.68,4.8712
7.32,10.0,1.04,6.11,7.9548
11.84,15.86,1.91,3.54,6.2775
11.67,14.85,1.38,2.47,7.6726
8.95,11.52,0.87,3.32,8.8566
14.67,19.12,1.2,4.3,4.8182
11.39,14.48,0.81,3.34,7.0324
12.26,16.35,1.1,5.89,4.9435
8.37,11.58,2.0,2.76,9.4533
10.23,13.29,1.41,2.75,8.2377
19.05,24.38,1.02,3.94,3.9133
41.16,52.83,0.93,4.54,1.7058
9.39,11.99,0.57,3.71,8.1469
8.32,11.13,1.05,4.62,8.0354
18.47,24.32,0.85,6.0,3.2975
8.49,11.17,0.97,3.93,8.5581
8.5,11.26,1.26,3.33,9.0538
8.72,11.79,1.41,4.09,7.9755
7.98,10.67,1.32,3.33,9.5573
6.6,9.13,1.12,6.04,8.7576
18.37,22.95,0.57,3.33,4.4434
25.93,31.66,1.08,2.59,3.5386
41.59,53.75,1.72,4.67,1.6572
57.43,70.47,1.33,2.89,1.5258
9.24,11.57,0.58,2.98,9.1924
9.16,12.38,1.75,3.09,8.4694
11.94,14.92,1.27,2.23,7.9058
32.98,40.54,0.61,2.98,2.6239
32.31,41.82,0.72,5.04,2.0642
6.73,9.33,1.18,6.0,8.5913
9.01,11.34,0.85,2.61,9.8429
21.64,26.26,0.77,2.52,4.3029
12.83,16.38,1.54,2.56,6.8687
12.34,15.94,1.12,3.62,6.1877
12.6,16.89,1.61,4.78,5.222
51.06,65.69,1.02,4.7,1.3526
12.55,15.79,0.8,3.09,6.641
58.15,72.73,1.45,3.42,1.3873
10.88,14.43,0.87,5.69,5.6864
16.13,20.83,0.76,4.54,4.3281
8.22,11.33,1.33,6.02,7.0687
8.13,11.02,1.38,3.98,8.629
8.45,10.73,0.66,3.18,9.6691
14.15,17.53,1.06,2.49,6.482
22.97,29.19,0.5,4.05,3.2323
6.88,10.0,2.0,4.58,8.9747
38.09,46.1,1.86,2.33,2.5234
14.29,18.07,0.87,3.31,5.6525
21.33,26.87,2.0,2.63,4.1445
18.35,23.41,0.78,3.97,4.0657
64.31,82.18,0.5,4.43,1.1077
8.04,10.67,0.63,5.8,7.6297
68.45,81.67,2.0,2.26,1.4379
21.43,26.28,1.11,2.56,4.2769
8.79,11.95,1.14,6.12,6.65
43.99,53.68,0.5,2.85,2.0143
12.26,16.2,0.8,5.8,5.0232
22.1,29.47,2.0,5.8,2.7604
21.2,28.05,1.62,5.59,2.9457
8.23,10.6,0.5,4.09,8.871
62.11,78.07,1.22,3.64,1.2611
11.21,14.67,0.55,5.38,5.724
21.77,26.85,0.99,2.78,4.0654
13.0,16.37,0.99,2.9,6.5621
19.98,25.13,2.0,2.48,4.5236
15.78,20.47,0.86,4.65,4.3595
10.49,14.25,1.62,4.76,6.204
30.24,38.32,1.03,3.81,2.5252
8.47,11.03,1.0,3.34,9.2249
21.46,27.8,1.68,4.02,3.4049
70.79,87.32,2.0,2.97,1.2189
9.49,12.41,0.5,5.24,6.8423
10.31,13.49,0.76,4.78,6.5372
12.44,16.35,1.14,4.58,5.4896
18.91,23.63,0.78,3.19,4.3874
8.8,11.62,0.54,5.81,6.995
30.82,37.33,1.27,2.42,3.072
49.03,58.92,1.23,2.42,1.9458
13.42,17.39,1.43,3.39,5.8251
13.84,18.14,1.51,3.88,5.2924
11.19,14.89,0.91,5.98,5.3936
10.23,13.37,0.5,5.32,6.3107
13.34,16.78,1.11,2.78,6.4992
31.52,41.36,1.18,5.85,1.9605
14.01,18.21,1.24,3.97,5.2269
7.1,9.93,1.41,5.53,8.3612
14.52,18.88,0.5,5.18,4.5198
5.63,8.39,1.83,6.03,9.5341
9.58,13.27,1.75,5.4,6.3205
31.23,41.1,2.0,5.45,2.0322
8.96,11.21,0.57,2.93,9.5413
7.31,10.44,2.0,3.67,9.4014
7.0,9.66,1.42,4.03,9.7902
9.61,12.95,1.26,5.06,6.6576
22.34,28.95,0.62,5.04,2.9808
19.15,25.11,1.02,5.45,3.3262
12.13,16.09,1.14,5.2,5.2961
24.8,32.25,0.68,5.28,2.6261
10.12,13.07,1.02,3.32,7.8079
12.0,15.58,1.24,3.51,6.4116
12.23,15.69,0.69,4.0,6.0446
9.35,12.47,0.87,5.67,6.5876
36.09,45.63,1.6,3.57,2.1752
12.52,15.75,0.75,3.16,6.6047
8.93,11.92,0.92,5.42,7.0236
58.3,75.02,0.56,4.79,1.1754
15.06,19.58,1.06,4.41,4.6575
75.63,90.59,0.5,2.5,1.2512
16.74,21.71,1.57,3.7,4.5101
11.37,14.5,1.17,2.84,7.4669
7.99,10.4,0.54,4.54,8.6713
8.13,10.5,0.52,4.19,8.8742
10.33,13.1,0.89,2.97,8.1327
7.62,10.02,0.75,4.36,9.1418
29.13,35.96,0.5,3.09,2.9175
6.36,9.36,2.0,4.6,9.581
35.24,46.06,0.5,5.84,1.7614
7.38,9.86,0.96,4.38,9.283
66.93,79.22,1.28,2.22,1.4933
11.45,15.22,1.08,5.35,5.5278
62.48,79.36,0.84,4.11,1.1825
15.23,19.87,1.19,4.43,4.582
11.02,13.8,0.83,2.77,7.9108
10.41,13.53,1.07,3.57,7.3315
16.77,20.9,1.02,2.85,5.169
7.84,10.6,1.29,4.04,8.9155
17.78,22.39,0.79,3.43,4.5002
28.68,37.4,1.0,5.4,2.2424
8.97,11.91,0.83,5.26,7.1169
11.56,15.44,1.02,6.02,5.1871
17.7,22.24,0.55,3.51,4.4928
42.9,54.9,1.66,4.18,1.6984
9.4,12.51,0.92,5.31,6.7529
13.38,17.21,0.99,3.77,5.6444
19.75,25.24,0.97,3.95,3.7775
19.93,25.92,0.53,5.32,3.2564
26.35,33.12,0.74,3.54,3.0051
26.02,31.26,0.81,2.37,3.6978
7.94,10.67,1.09,4.64,8.3685
7.02,9.21,0.54,4.83,9.5442
7.05,9.59,0.94,5.96,8.3859
12.13,16.03,1.02,5.19,5.3184
19.1,23.06,0.5,2.5,4.9185
12.47,16.05,1.3,3.12,6.5136
25.28,31.69,2.0,2.74,3.4609
17.97,23.45,0.56,5.52,3.544
13.61,17.56,0.87,4.11,5.3437
26.74,34.36,0.78,4.53,2.6256
18.61,24.66,1.36,5.82,3.2935
12.99,16.76,1.48,3.02,6.3161
7.31,10.02,1.14,5.78,8.1327
50.71,60.56,0.5,2.43,1.8923
19.34,23.76,0.74,2.77,4.6007
23.64,30.6,0.55,5.03,2.8219
12.16,16.7,2.0,5.46,4.9966
17.22,22.8,1.1,6.08,3.497
14.43,18.62,0.68,4.5,4.8593
18.79,22.95,1.24,2.3,5.0897
6.52,9.07,1.23,5.63,9.0831
7.01,9.41,0.77,5.66,8.7387
28.04,36.53,0.75,5.45,2.2869
9.42,12.49,1.06,4.45,7.2777
19.75,24.66,0.63,3.29,4.1529
22.1,29.27,1.46,6.02,2.7351
32.59,39.11,0.82,2.4,2.942
9.21,12.27,1.18,4.24,7.5512
18.45,22.91,0.76,3.0,4.6267
